solver_name,study_id,result_state_id,load_case,severity,code,source,target,message
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_n12' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_n13' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_n14' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_n15' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_str_0_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_str_1_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_str_2_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s0_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s1_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s2_mid' without mesh source mapping.
