solver_name,study_id,result_state_id,load_case,entity_ref,location_kind,node_id,dx,dy,dz,drx,dry,drz,translation_magnitude,rotation_magnitude
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s14_mid,analysis_node,pipe_bend_0_s14_mid,0.00322665,-0.00288812,-0.000101748,-0.00191027,-0.00171365,-0.00993784,0.004331611710715078,0.01026383903132741
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s15_mid,analysis_node,pipe_bend_0_s15_mid,0.00351836,-0.00287472,-0.000152883,-0.00191803,-0.00177287,-0.00969239,0.0045460142300359115,0.010038143804005799
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s1_mid,analysis_node,pipe_bend_0_s1_mid,0.000108526,-0.000457931,3.8622e-05,-0.00169158,-0.00105015,-0.0104386,0.00047219736585563457,0.010626788220290267
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s2_mid,analysis_node,pipe_bend_0_s2_mid,0.00021464,-0.000761973,5.96407e-05,-0.0017099,-0.00109139,-0.0107021,0.0007938703895633657,0.010892650483335082
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s3_mid,analysis_node,pipe_bend_0_s3_mid,0.00035147,-0.00106053,7.61655e-05,-0.00172893,-0.00113415,-0.0109027,0.0011198465185864757,0.011097042960059224
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s4_mid,analysis_node,pipe_bend_0_s4_mid,0.000518424,-0.00134869,8.78991e-05,-0.00174844,-0.00117858,-0.0110423,0.001447568448004035,0.011241818471226085
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s5_mid,analysis_node,pipe_bend_0_s5_mid,0.000713894,-0.00162177,9.45684e-05,-0.00176817,-0.00122479,-0.0111237,0.001774464921719942,0.011329750102407379
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s6_mid,analysis_node,pipe_bend_0_s6_mid,0.000935578,-0.00187547,9.59283e-05,-0.00178784,-0.00127282,-0.01115,0.0020980696255665323,0.011363931653173563
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s7_mid,analysis_node,pipe_bend_0_s7_mid,0.00118054,-0.00210602,9.1765e-05,-0.00180716,-0.00132269,-0.0111253,0.0024160744498514532,0.011348464045486508
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s8_mid,analysis_node,pipe_bend_0_s8_mid,0.00144535,-0.00231022,8.18999e-05,-0.00182585,-0.00137436,-0.0110539,0.0027263273216031874,0.011287661353978512
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_0_s9_mid,analysis_node,pipe_bend_0_s9_mid,0.00172616,-0.00248553,6.61932e-05,-0.00184361,-0.00142773,-0.0109405,0.003026857985804131,0.011186234890927332
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n1,analysis_node,pipe_bend_1_n1,0.0108194,4.63185e-05,-0.00340779,-0.000726048,-0.00588676,-4.11225e-05,0.011343482465607388,0.005931507401656872
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n10,analysis_node,pipe_bend_1_n10,0.00999566,0.000450332,-0.00332743,-0.000356546,-0.00631179,6.69563e-05,0.010544562966321743,0.006322206988095667
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n11,analysis_node,pipe_bend_1_n11,0.00983446,0.000482071,-0.0032936,-0.000316786,-0.00634343,6.78046e-05,0.010382523628706125,0.006351697017213365
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n12,analysis_node,pipe_bend_1_n12,0.009664,0.000509282,-0.00325631,-0.000277717,-0.00637162,6.76958e-05,0.010210573880621207,0.006378028761131972
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n13,analysis_node,pipe_bend_1_n13,0.00948597,0.00053162,-0.00321617,-0.000239442,-0.00639638,6.69392e-05,0.01003045343612142,0.006401210075623252
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n14,analysis_node,pipe_bend_1_n14,0.00930212,0.000548853,-0.00317363,-0.000202053,-0.00641775,6.58244e-05,0.009843912001176616,0.006421267268144533
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n15,analysis_node,pipe_bend_1_n15,0.00911427,0.000560643,-0.00313016,-0.000165622,-0.00643583,6.46258e-05,0.009653089652124289,0.006438285092305997
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n2,analysis_node,pipe_bend_1_n2,0.0107942,9.42191e-05,-0.00342175,-0.00068547,-0.00594404,-1.59967e-05,0.011323957079630107,0.0059834552339689895
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n3,analysis_node,pipe_bend_1_n3,0.0107512,0.000142953,-0.00342977,-0.000644474,-0.0059995,5.10494e-06,0.01128592305720312,0.006034017985313634
