#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000034 CALCULE LE 10/09/2026 A 01:01:07 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ
RESU            ,DEPL            , 0.00000E+00,           1,38      , 5.25000E-02, 9.79685E-18, 4.00000E-02,-6.99357E-07,-6.04171E-06, 4.80977E-06
RESU            ,DEPL            , 0.00000E+00,           1,39      , 5.75000E-02, 9.79685E-18, 4.00000E-02,-6.96961E-07,-6.19185E-06, 4.57821E-06
RESU            ,DEPL            , 0.00000E+00,           1,40      , 6.25000E-02, 9.79685E-18, 4.00000E-02,-6.93557E-07,-6.33156E-06, 4.36407E-06
RESU            ,DEPL            , 0.00000E+00,           1,41      , 6.75000E-02, 9.79685E-18, 4.00000E-02,-6.85333E-07,-6.46662E-06, 4.17307E-06
RESU            ,DEPL            , 0.00000E+00,           1,42      , 7.25000E-02, 9.79685E-18, 4.00000E-02,-6.76803E-07,-6.59827E-06, 4.01025E-06
RESU            ,DEPL            , 0.00000E+00,           1,43      , 7.75000E-02, 9.79685E-18, 4.00000E-02,-6.63595E-07,-6.72600E-06, 3.88330E-06
RESU            ,DEPL            , 0.00000E+00,           1,44      ,-7.00000E-02, 9.79685E-18, 4.00000E-02, 1.89145E-07,-3.49554E-07, 5.43488E-07
RESU            ,DEPL            , 0.00000E+00,           1,45      ,-6.00000E-02, 9.79685E-18, 4.00000E-02, 1.26951E-07,-7.92336E-07, 1.29774E-06
RESU            ,DEPL            , 0.00000E+00,           1,46      ,-5.00000E-02, 9.79685E-18, 4.00000E-02, 1.25163E-09,-1.29246E-06, 2.03945E-06
RESU            ,DEPL            , 0.00000E+00,           1,47      ,-4.00000E-02, 9.79685E-18, 4.00000E-02,-1.02493E-07,-1.81699E-06, 2.75147E-06
RESU            ,DEPL            , 0.00000E+00,           1,48      ,-3.00000E-02, 9.79685E-18, 4.00000E-02,-1.60764E-07,-2.33966E-06, 3.47936E-06
RESU            ,DEPL            , 0.00000E+00,           1,49      ,-2.00000E-02, 9.79685E-18, 4.00000E-02,-1.88999E-07,-2.84330E-06, 4.25178E-06
RESU            ,DEPL            , 0.00000E+00,           1,50      ,-1.00000E-02, 9.79685E-18, 4.00000E-02,-2.25817E-07,-3.32069E-06, 5.03334E-06
RESU            ,DEPL            , 0.00000E+00,           1,51      ,-7.50000E-02, 9.79685E-18, 4.00000E-02, 1.46850E-07,-1.61647E-07, 2.21324E-07
RESU            ,DEPL            , 0.00000E+00,           1,52      ,-6.50000E-02, 9.79685E-18, 4.00000E-02, 1.76499E-07,-5.61048E-07, 9.14046E-07
RESU            ,DEPL            , 0.00000E+00,           1,53      ,-5.50000E-02, 9.79685E-18, 4.00000E-02, 6.50626E-08,-1.03751E-06, 1.67312E-06
RESU            ,DEPL            , 0.00000E+00,           1,54      ,-4.50000E-02, 9.79685E-18, 4.00000E-02,-5.58622E-08,-1.55349E-06, 2.39545E-06
RESU            ,DEPL            , 0.00000E+00,           1,55      ,-3.50000E-02, 9.79685E-18, 4.00000E-02,-1.36967E-07,-2.08005E-06, 3.10899E-06
RESU            ,DEPL            , 0.00000E+00,           1,56      ,-2.50000E-02, 9.79685E-18, 4.00000E-02,-1.76662E-07,-2.59476E-06, 3.85802E-06
RESU            ,DEPL            , 0.00000E+00,           1,57      ,-1.50000E-02, 9.79685E-18, 4.00000E-02,-2.03086E-07,-3.08416E-06, 4.64486E-06
RESU            ,DEPL            , 0.00000E+00,           1,58      ,-5.00000E-03, 9.79685E-18, 4.00000E-02,-2.59241E-07,-3.55264E-06, 5.39436E-06
RESU            ,DEPL            , 0.00000E+00,           1,59      ,-7.75000E-02, 9.79685E-18, 4.00000E-02, 8.00300E-08,-7.84311E-08, 9.88828E-08
RESU            ,DEPL            , 0.00000E+00,           1,60      ,-7.25000E-02, 9.79685E-18, 4.00000E-02, 1.77734E-07,-2.52643E-07, 3.74884E-07
RESU            ,DEPL            , 0.00000E+00,           1,61      ,-6.75000E-02, 9.79685E-18, 4.00000E-02, 1.87238E-07,-4.52782E-07, 7.26120E-07
RESU            ,DEPL            , 0.00000E+00,           1,62      ,-6.25000E-02, 9.79685E-18, 4.00000E-02, 1.54190E-07,-6.74768E-07, 1.10589E-06
RESU            ,DEPL            , 0.00000E+00,           1,63      ,-5.75000E-02, 9.79685E-18, 4.00000E-02, 9.66437E-08,-9.13688E-07, 1.48666E-06
RESU            ,DEPL            , 0.00000E+00,           1,64      ,-5.25000E-02, 9.79685E-18, 4.00000E-02, 3.27985E-08,-1.16406E-06, 1.85744E-06
RESU            ,DEPL            , 0.00000E+00,           1,65      ,-4.75000E-02, 9.79685E-18, 4.00000E-02,-2.82756E-08,-1.42271E-06, 2.21813E-06
RESU            ,DEPL            , 0.00000E+00,           1,66      ,-4.25000E-02, 9.79685E-18, 4.00000E-02,-8.01477E-08,-1.68484E-06, 2.57328E-06
RESU            ,DEPL            , 0.00000E+00,           1,67      ,-3.75000E-02, 9.79685E-18, 4.00000E-02,-1.21055E-07,-1.94890E-06, 2.92937E-06
RESU            ,DEPL            , 0.00000E+00,           1,68      ,-3.25000E-02, 9.79685E-18, 4.00000E-02,-1.49575E-07,-2.20996E-06, 3.29258E-06
RESU            ,DEPL            , 0.00000E+00,           1,69      ,-2.75000E-02, 9.79685E-18, 4.00000E-02,-1.69659E-07,-2.46823E-06, 3.66734E-06
RESU            ,DEPL            , 0.00000E+00,           1,70      ,-2.25000E-02, 9.79685E-18, 4.00000E-02,-1.82703E-07,-2.71912E-06, 4.05356E-06
RESU            ,DEPL            , 0.00000E+00,           1,71      ,-1.75000E-02, 9.79685E-18, 4.00000E-02,-1.95832E-07,-2.96468E-06, 4.44838E-06
RESU            ,DEPL            , 0.00000E+00,           1,72      ,-1.25000E-02, 9.79685E-18, 4.00000E-02,-2.13291E-07,-3.20218E-06, 4.84092E-06
RESU            ,DEPL            , 0.00000E+00,           1,73      ,-7.50000E-03, 9.79685E-18, 4.00000E-02,-2.40611E-07,-3.43752E-06, 5.21780E-06
RESU            ,DEPL            , 0.00000E+00,           1,74      ,-2.50000E-03, 9.79685E-18, 4.00000E-02,-2.83877E-07,-3.67065E-06, 5.55796E-06
RESU            ,DEPL            , 0.00000E+00,           1,75      ,-8.00000E-02,-9.57263E-03, 3.88377E-02, 0.00000E+00,-1.83360E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,76      ,-8.00000E-02,-1.85889E-02, 3.54182E-02, 0.00000E+00,-1.84523E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,77      ,-8.00000E-02,-2.65249E-02, 2.99404E-02, 0.00000E+00, 2.30596E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,78      ,-8.00000E-02,-3.29194E-02, 2.27226E-02,-2.59050E-23, 1.69291E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,79      ,-8.00000E-02,-3.74006E-02, 1.41842E-02, 0.00000E+00, 2.02346E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,80      ,-8.00000E-02,-3.97084E-02, 4.82147E-03, 0.00000E+00, 3.97957E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,81      ,-8.00000E-02,-3.97084E-02,-4.82147E-03, 0.00000E+00, 6.10974E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,82      ,-8.00000E-02,-3.74006E-02,-1.41842E-02, 0.00000E+00,-1.68587E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,83      ,-8.00000E-02,-3.29194E-02,-2.27226E-02, 0.00000E+00, 1.55010E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,84      ,-8.00000E-02,-2.65249E-02,-2.99404E-02, 0.00000E+00,-2.06558E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,85      ,-8.00000E-02,-1.85889E-02,-3.54182E-02, 0.00000E+00, 0.00000E+00,-5.11186E-24
RESU            ,DEPL            , 0.00000E+00,           1,86      ,-8.00000E-02,-9.57263E-03,-3.88377E-02, 0.00000E+00, 0.00000E+00,-1.18278E-23
RESU            ,DEPL            , 0.00000E+00,           1,87      ,-8.00000E-02,-4.89843E-18,-4.00000E-02, 0.00000E+00,-2.23622E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,88      ,-8.00000E-02, 9.57263E-03,-3.88377E-02,-1.61409E-23, 7.09485E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,89      ,-8.00000E-02, 1.85889E-02,-3.54182E-02, 0.00000E+00,-7.70083E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,90      ,-8.00000E-02, 2.65249E-02,-2.99404E-02, 0.00000E+00,-7.77046E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,91      ,-8.00000E-02, 3.29194E-02,-2.27226E-02, 0.00000E+00, 6.66414E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,92      ,-8.00000E-02, 3.74006E-02,-1.41842E-02, 0.00000E+00,-4.78878E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,93      ,-8.00000E-02, 3.97084E-02,-4.82147E-03, 0.00000E+00,-4.52149E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,94      ,-8.00000E-02, 3.97084E-02, 4.82147E-03, 0.00000E+00, 2.97769E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,95      ,-8.00000E-02, 3.74006E-02, 1.41842E-02, 0.00000E+00,-8.71020E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,96      ,-8.00000E-02, 3.29194E-02, 2.27226E-02, 0.00000E+00,-1.29258E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,97      ,-8.00000E-02, 2.65249E-02, 2.99404E-02, 6.50100E-24,-2.50931E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,98      ,-8.00000E-02, 1.85889E-02, 3.54182E-02, 0.00000E+00, 0.00000E+00, 3.19536E-25
RESU            ,DEPL            , 0.00000E+00,           1,99      ,-8.00000E-02, 9.57263E-03, 3.88377E-02, 0.00000E+00, 5.02001E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,100     ,-8.00000E-02,-4.82147E-03, 3.97084E-02, 0.00000E+00,-4.12864E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,101     ,-8.00000E-02,-1.41842E-02, 3.74006E-02, 0.00000E+00,-2.18428E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,102     ,-8.00000E-02,-2.27226E-02, 3.29194E-02, 0.00000E+00, 1.09253E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,103     ,-8.00000E-02,-2.99404E-02, 2.65249E-02, 0.00000E+00, 3.30849E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,104     ,-8.00000E-02,-3.54182E-02, 1.85889E-02, 0.00000E+00, 6.31127E-24, 0.00000E+00
