#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000035 CALCULE LE 27/08/2026 A 12:40:51 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ
RESU            ,FORC_NODA       , 0.00000E+00,           1,37      , 4.75000E-02, 9.79685E-18, 4.00000E-02,-1.55875E-13, 2.70148E-03, 7.14588E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,38      , 5.25000E-02, 9.79685E-18, 4.00000E-02,-1.22924E-12,-2.81398E-04, 7.21195E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,39      , 5.75000E-02, 9.79685E-18, 4.00000E-02,-5.80425E-13,-1.11297E-03, 7.18880E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,40      , 6.25000E-02, 9.79685E-18, 4.00000E-02,-8.66418E-13,-3.30748E-03, 7.14077E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,41      , 6.75000E-02, 9.79685E-18, 4.00000E-02,-8.54872E-14, 3.24703E-02, 5.84687E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,42      , 7.25000E-02, 9.79685E-18, 4.00000E-02, 4.29878E-13, 5.89084E-12, 7.21817E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,43      , 7.75000E-02, 9.79685E-18, 4.00000E-02,-7.41962E-13,-8.78912E-03, 5.83848E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,44      ,-7.50000E-02, 9.79685E-18, 4.00000E-02, 5.98064E-06, 3.73474E-05, 6.53738E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,45      ,-7.00000E-02, 9.79685E-18, 4.00000E-02, 8.54989E-07,-2.65701E-03, 9.40275E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,46      ,-6.50000E-02, 9.79685E-18, 4.00000E-02,-8.54989E-07,-2.64964E-03, 9.43126E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,47      ,-6.00000E-02, 9.79685E-18, 4.00000E-02,-2.74749E-06, 1.12204E-02, 8.18394E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,48      ,-5.50000E-02, 9.79685E-18, 4.00000E-02, 2.74749E-06, 1.11624E-02, 8.58463E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,49      ,-5.00000E-02, 9.79685E-18, 4.00000E-02,-2.24024E-07, 6.59413E-04, 8.98640E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,50      ,-4.50000E-02, 9.79685E-18, 4.00000E-02, 8.76953E-08, 1.29154E-03, 9.32059E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,51      ,-4.00000E-02, 9.79685E-18, 4.00000E-02, 2.06700E-07, 6.85471E-04, 9.61356E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,52      ,-3.50000E-02, 9.79685E-18, 4.00000E-02,-4.97806E-08,-4.27757E-04, 9.07770E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,53      ,-3.00000E-02, 9.79685E-18, 4.00000E-02,-2.05936E-08,-1.90209E-04, 9.46451E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,54      ,-2.50000E-02, 9.79685E-18, 4.00000E-02,-4.10619E-06,-3.74468E-03, 7.81240E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,55      ,-2.00000E-02, 9.79685E-18, 4.00000E-02, 4.28124E-06, 6.67678E-04, 7.73099E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,56      ,-1.50000E-02, 9.79685E-18, 4.00000E-02, 1.09008E-05,-3.31318E-02, 1.27059E-02
RESU            ,FORC_NODA       , 0.00000E+00,           1,57      ,-1.00000E-02, 9.79685E-18, 4.00000E-02,-1.22217E-05, 2.64328E-03, 9.91505E-03
